onset	duration	value	trial_type
23.3882	18	1	WordIncongruent
53.4118	18	1	WordIncongruent
86.4256	18	1	WordCongruent
119.4394	18	1	WordCongruent
150.4461	18	1	WordIncongruent
182.4768	18	1	WordCongruent
210.4934	18	1	WordIncongruent
242.4832	18	1	WordIncongruent
273.5309	18	1	WordCongruent
304.5376	18	1	WordIncongruent
337.5514	18	1	WordCongruent
369.5821	18	1	WordCongruent
397.5987	18	1	WordCongruent
428.6054	18	1	WordIncongruent
460.6362	18	1	WordCongruent
493.6499	18	1	WordIncongruent
524.6566	18	1	WordIncongruent
556.6874	18	1	WordCongruent
