name	type	x	y	z
S1	source	76.843872	-18.509617	55.930679
S2	source	59.53756	33.80085	50.197914
S3	source	24.179691	71.000961	47.281651
S4	source	-24.385111	70.125008	48.546944
S5	source	-58.349331	35.007172	51.046722
S6	source	-77.054695	-17.569084	55.098946
S7	source	79.373917	11.057996	21.75919
S8	source	51.975666000000004	64.527039	17.831842
S9	source	-1.539027	86.797012	19.057768
S10	source	-52.69914200000001	63.5191	18.524183
S11	source	-79.086472	11.560118	22.524605
S12	source	85.448769	-18.483055	-8.441234
S13	source	71.589386	40.17822600000001	-12.395305
S14	source	26.773874	86.199814	-14.317974
S15	source	-31.307495	84.193985	-13.787842999999999
S16	source	-71.772766	39.805077	-10.422018
S17	source	-85.150406	-15.027409	-7.780082999999999
D1	detector	69.55542	10.221658	52.539085
D2	detector	43.893169	56.111915999999994	48.734173
D3	detector	-0.015332	76.221802	47.83931
D4	detector	-43.70034	55.527588	49.735752
D5	detector	-69.524109	9.632678	52.991013
D6	detector	84.664253	-18.721365	23.655001
D7	detector	69.266937	39.018837	19.867325
D8	detector	27.889605	82.219345	17.843697
D9	detector	-29.388618	81.535995	18.05047
D10	detector	-68.256226	40.393176999999994	20.651368999999995
D11	detector	-84.631729	-17.267756	23.799238
D12	detector	80.05371100000002	10.247586	-9.64334
D13	detector	54.790958	67.056511	-12.927155
D14	detector	-2.420721	89.523537	-12.060879
D15	detector	-55.274864	66.252312	-11.462506999999999
D16	detector	-79.486954	12.759996000000001	-9.247055
D17	detector	77.71106	-26.7384	56.568225999999996
D18	detector	63.268299	26.786105999999997	49.9916
D19	detector	-16.955278	73.569176	47.533566
D20	detector	-75.15451	-10.013454	55.258549
D21	detector	85.982384	-27.110399	-8.756497
D22	detector	33.931152	83.091049	-15.076658
D23	detector	-68.120392	47.267117	-9.725187
D24	detector	-83.71857500000002	-6.227952	-7.261537000000001
